Existing term	Replacement term	github handle of requester	Relevant github ticket	Date requested
RO:0002400	RO:0004009	vanaukenk	https://github.com/geneontology/minerva/issues/314	2024-10-02
RO:0002233	RO:0004009	vanaukenk	https://github.com/geneontology/minerva/issues/314	2024-10-02
RO:0002234	RO:0004008	vanaukenk	https://github.com/geneontology/minerva/issues/314	2024-10-02
RO:0002313	RO:0004009	vanaukenk	https://github.com/geneontology/minerva/issues/314	2024-10-02
